Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,judge,question,reference,response,score,score_raw
803,803,803,803,803,803,Qwen/Qwen2.5-7B-Instruct,"During a riot, Mr. Winter's car was overturned causing $346.50 in damage.Mr. Winter had $50-deductible col-lision insurance, but no comprehensive coverage. How much will theinsurance company pay Mr. Winter?",not pay him anything,"The insurance company will not pay Mr. Winter for the damage because the car was damaged during a riot, which is typically covered under comprehensive insurance. Since Mr. Winter only has collision coverage and no comprehensive coverage, the insurer will not cover the $346.50 damage. Therefore, Mr. Winter will have to pay the full amount himself.",0,answer>0</answer>
804,804,804,804,804,804,Qwen/Qwen2.5-7B-Instruct,A capacitor is found to offer 25 ohms of capacitive reactance when connected in a 400-cps circuit. What is its capacitance?,16 microfarads,"The capacitive reactance \(X_C\) is given by \(X_C = \frac{1}{2 \pi f C}\). Given \(X_C = 25 \, \Omega\) and \(f = 400 \, \text{Hz}\), rearranging for \(C\) gives \(C = \frac{1}{2 \pi f X_C}\). Substituting values, \(C = \frac{1}{2 \pi \times 400 \times 25} = \frac{1}{62831.85} \approx 1.59 \times 10^{-5} \, \text{F}\) or 15.9 µF.",0,answer>0</answer>
805,805,805,805,805,805,Qwen/Qwen2.5-7B-Instruct,A uniformly charged conducting sphere of $1.2 \mathrm{~m}$ diameter has surface charge density $8.1 \mu \mathrm{C} / \mathrm{m}^2$. Find the net charge on the sphere.,$37$$\\mu \\mathrm{C}$,"The surface area \( A \) of the sphere is \( 4 \pi r^2 \), where the radius \( r = \frac{1.2}{2} = 0.6 \, \mathrm{m} \). So, \( A = 4 \pi (0.6)^2 = 4 \pi \times 0.36 = 4.52 \, \mathrm{m}^2 \). The surface charge density \( \sigma = 8.1 \, \mu \mathrm{C/m}^2 = 8.1 \times 10^{-6} \, \mathrm{C/m}^2 \). The net charge \( Q = \sigma \times A = 8.1 \times 10^{-6} \times 4.52 = 3.66 \times 10^{-5} \, \mathrm{C} \).",0,0
806,806,806,806,806,806,Qwen/Qwen2.5-7B-Instruct,"consider a forward contract on a non-dividend paying stock that matures in 6 months. The current stock price is $50 and the 6-month interest rate is 4% per annum. What is the forward price, F.",51.0,"The forward price \( F \) is calculated using the formula \( F = S_0 \times e^{rT} \), where \( S_0 = 50 \), \( r = 0.04 \) (annual interest rate), and \( T = 0.5 \) years. Thus, \( F = 50 \times e^{0.04 \times 0.5} = 50 \times e^{0.02} \approx 50 \times 1.0202 = 51.01 \). The forward price is approximately $51.01.",1,answer>1</answer>
807,807,807,807,807,807,Qwen/Qwen2.5-7B-Instruct,Match Co. manufactures a product with the following costs per unit based on a maximum plant capacity of 400000 units per year: Direct materials $ 60 Direct labor 10 Variable overhead 40 Fixed overhead 30 Total $140 Match has a ready market for all 400000 units at a selling price of $200 each. Selling costs in this market consist of $10 per unit shipping and a fixed licensing fee of $50000 per year. Reno Co. wishes to buy 5000 of these units on a special order. There would be no shipping costs on this special order. What is the lowest price per unit at which Match should be willing to sell the 5000 units to Reno?,$190,"The lowest price per unit Match should accept is the variable cost per unit since fixed costs and shipping are not affected by the special order. Variable costs include direct materials ($60), direct labor ($10), and variable overhead ($40), totaling $110 per unit. Therefore, the minimum price Match should accept for the special order is $110 per unit.",0,answer>0</answer>
808,808,808,808,808,808,Qwen/Qwen2.5-7B-Instruct,"Assume that all gases are perfect and that data refer to 298.15 K unless otherwise stated. Calculate $\Delta H$ when two copper blocks, each of mass $10.0 \mathrm{~kg}$, one at $100^{\circ} \mathrm{C}$ and the other at $0^{\circ} \mathrm{C}$, are placed in contact in an isolated container. The specific heat capacity of copper is $0.385 \mathrm{~J} \mathrm{~K}^{-1} \mathrm{~g}^{-1}$ and may be assumed constant over the temperature range involved.",0,"When the two copper blocks reach thermal equilibrium, their final temperature \( T_f \) will be the same. Using conservation of energy, the heat lost by the hot block equals the heat gained by the cold block:

\[
m c (T_{\text{hot}} - T_f) = m c (T_f - T_{\text{cold}})
\]

Since both masses and specific heat capacities are equal, 

\[
T_f = \frac{T_{\text{hot}} + T_{\text{cold}}}{2} = \frac{100 + 0}{2} = 50^\circ C
\]

The enthalpy change for each block is:

\[
\Delta H = m c (T_f - T_i)
\]

For the hot block:

\[
\Delta H_{\text{hot}} = 10,000 \, g \times 0.385 \, \frac{J}{g \cdot K} \times (50 - 100) = -192,500 \, J
\]

For the cold block:

\[
\Delta H_{\text{cold}} = 10,000 \, g \times 0.385 \, \frac{J}{g \cdot K} \times (50 - 0) = 192,500 \, J
\]

The total \(\Delta H\) for the system is zero, as the heat lost by one block is gained",0,0
809,809,809,809,809,809,Qwen/Qwen2.5-7B-Instruct,"Consider an example of forced convection within a pipe. The local heat transfer coefficient is valid at the point it is evaluated at, and in its immediate vicinity. When the length of pipe as a whole is of concern, the average heat transfer coefficient applies. The average temperature difference is defined as (T_s - T)_av= [{(T_s - T_in) + (T_s - T_out)} / 2] where T_s = wall surface temperature T_in = bulk fluid temperature at entrance T_out = bulk fluid temperature at exit. Derive the average heat transfer coefficienth_avin terms of the local coefficienth_x.",h_av= [{^L\\int_0h_x(T_s - T)dx} / (T_s -T_av)],"The average heat transfer coefficient \( h_{av} \) over the pipe length \( L \) is defined by the relation:

\[
h_{av} = \frac{Q}{A (T_s - T)_{av}}
\]

where \( Q \) is the heat transfer rate and \( A \) is the surface area.

The local heat transfer coefficient \( h_x \) relates to the local heat flux \( q_x \) as:

\[
q_x = h_x (T_s - T_x)
\]

Integrating over the length \( L \), the total heat transfer is:

\[
Q = \int_0^L h_x P (T_s - T_x) dx
\]

where \( P \) is the perimeter.

Using the average temperature difference:

\[
(T_s - T)_{av} = \frac{(T_s - T_{in}) + (T_s - T_{out})}{2}
\]

and the fact that \( Q = h_{av} A (T_s - T)_{av} \), the average heat transfer coefficient can be expressed as:

\[
h_{av} = \frac{1}{L} \int_0^L h_x \frac{(T_s - T_x)}{(T_s - T)_{av}} dx
\]

This shows \( h_{av} \) is the length-averaged local heat transfer coefficient weighted by the",0,answer>0</answer>
810,810,810,810,810,810,Qwen/Qwen2.5-7B-Instruct,Find the degree for the given field extension Q(sqrt(2)*sqrt(3)) over Q.,2,"The field extension \( \mathbb{Q}(\sqrt{2}\sqrt{3}) = \mathbb{Q}(\sqrt{6}) \) over \( \mathbb{Q} \) has degree 2. This is because \(\sqrt{6}\) is a root of the irreducible polynomial \(x^2 - 6\) over \(\mathbb{Q}\). Therefore, the degree of the extension is 2.",1,answer>1</answer>
811,811,811,811,811,811,Qwen/Qwen2.5-7B-Instruct,Newton's rings are seen in transmitted light of 500 nm. The diameter of the 20th bright ring is found to be 4 mm. a) What is the radius of curvature of the lens? b) What is the diameter of the 30th bright ring?,Radius of curvature of the lens is 39 cm and diameter of the 30th bright ring is 4.9 mm,"Given: wavelength \(\lambda = 500 \, \text{nm} = 5 \times 10^{-7} \, \text{m}\), diameter of 20th bright ring \(D_{20} = 4 \, \text{mm} = 4 \times 10^{-3} \, \text{m}\).

a) For Newton's rings, the diameter of the \(m\)-th bright ring is given by \(D_m^2 = 4 R m \lambda\). Using \(m=20\),
\[
(4 \times 10^{-3})^2 = 4 R \times 20 \times 5 \times 10^{-7}
\]
\[
16 \times 10^{-6} = 4 R \times 10^{-5}
\]
\[
R = \frac{16 \times 10^{-6}}{4 \times 10^{-5}} = 0.4 \, \text{m}
\]

b) For the 30th bright ring,
\[
D_{30}^2 = 4 R \times 30 \times \lambda = 4 \times 0.4 \times 30 \times 5 \times 10^{-7} = 2.4 \times 10^{-5}
\]
\[
D_{30} = \sqrt{2.4 \times 10^{-5}} =",0,answer>0</answer>
812,812,812,812,812,812,Qwen/Qwen2.5-7B-Instruct,"Mr. Green, who is 35 years old, has just purchased a new car. The car is classified as symbol 5, and is kept in 06 territory. He has had one accident in the last three years. If he uses the new car for business, what is the difference in cost between $50-deductible and $100-deductible collision insurance?",$45,"The difference in cost between $50-deductible and $100-deductible collision insurance for Mr. Green's new car, classified as symbol 5 in territory 06 with one accident in the last three years and used for business, is $40. The $50-deductible collision insurance costs $320, while the $100-deductible collision insurance costs $280.",0,answer>0</answer>
813,813,813,813,813,813,Qwen/Qwen2.5-7B-Instruct,"A container ship has a cross-sectional area of 3,000 m^2 at the water line when the draft is 9m. What weight of containers can be added before the normal draft of 9.2m is reached. Assume salt water of weight density 10kN/m^3.",6000kN,"The volume of water displaced when the draft increases from 9m to 9.2m is \(3,000 \, m^2 \times 0.2 \, m = 600 \, m^3\). The buoyant force equals the weight of the displaced water, so the additional weight the ship can carry is \(600 \, m^3 \times 10 \, kN/m^3 = 6,000 \, kN\). Therefore, the ship can carry an additional 6,000 kN of containers before reaching the draft of 9.2m.",1,answer>1</answer>
814,814,814,814,814,814,Qwen/Qwen2.5-7B-Instruct,A 3200-lb car traveling with a speed of 60 mi/hr rounds a curve whose radius is 484 ft. Find the necessary centripetal force.,1600 lb,"First, convert the speed from mi/hr to ft/s: 60 mi/hr × (5280 ft/mi) ÷ (3600 s/hr) = 88 ft/s. The mass \( m \) is weight divided by gravity: \( m = \frac{3200 \text{ lb}}{32.2 \text{ ft/s}^2} = 99.38 \text{ slugs} \). The centripetal force \( F = \frac{mv^2}{r} = \frac{99.38 \times 88^2}{484} \approx 1593 \text{ lb} \). Thus, the necessary centripetal force is about 1593 lb.",1,answer>1</answer>
815,815,815,815,815,815,Qwen/Qwen2.5-7B-Instruct,"Find the voltage across a 0.01 \muF capacitor at t = 0.25 \mus if \nu(o) = 0.6 V and the current through it is: (a) 0.2 sin 2\pi 10^6 t A, (b) 0.2e^-(10)7 ^t A, (c) 0.2 A; 0 \leq t \leq 3 \mus.","(a) 3.78 V, (b) 2.44 V, (c) 5.6 V","Given \( C = 0.01 \mu F = 10^{-8} F \) and initial voltage \( v(0) = 0.6 V \), the voltage across the capacitor is:

(a) \( i(t) = 0.2 \sin(2\pi \times 10^6 t) \)

\[
v(t) = v(0) + \frac{1}{C} \int_0^t i(\tau) d\tau = 0.6 + \frac{1}{10^{-8}} \int_0^{0.25 \times 10^{-6}} 0.2 \sin(2\pi \times 10^6 \tau) d\tau
\]

\[
= 0.6 + 10^8 \times 0.2 \times \left[-\frac{\cos(2\pi \times 10^6 \tau)}{2\pi \times 10^6}\right]_0^{0.25 \times 10^{-6}} = 0.6 + \frac{0.2 \times 10^8}{2\pi \times 10^6} (1 - \cos(\pi/2))
\]

\[
= 0.6 + \frac{0.2 \times 10^8}{6.283 \times 10^6} (1 - 0) =",0,0
816,816,816,816,816,816,Qwen/Qwen2.5-7B-Instruct,"The following equation is given for 1 mole of a gas V = f (P, T)(1) Derive the ideal gas equation.",(VP) / (T) = R,"Starting from the given equation \( V = f(P, T) \), assume volume \( V \) is directly proportional to temperature \( T \) and inversely proportional to pressure \( P \), so \( V \propto \frac{T}{P} \). Introducing a proportionality constant \( R \), we write \( V = \frac{RT}{P} \). Rearranging gives the ideal gas equation for 1 mole: \( PV = RT \).",1,answer>1</answer>
817,817,817,817,817,817,Qwen/Qwen2.5-7B-Instruct,There is an isolated positive point charge which has a value of 5 × 10^-10 coulombs. What is the magnitude of E and D at a distance of 30 cm when the charge is located (a) in air; (b) in a large tank of glycerin (\epsilon_r= 50)?,"E = 50 volts/meter and D = 4.44 × 10^-10 coulomb/meter^2 in air, E = 1 volt/meter and D = 4.42 × 10^-10 coulomb/meter^2 in glycerin","Given the charge \( Q = 5 \times 10^{-10} \, C \) and distance \( r = 0.3 \, m \):

(a) In air (\(\epsilon_r \approx 1\)):
Electric field, \( E = \frac{1}{4 \pi \epsilon_0} \frac{Q}{r^2} \).
Using \(\epsilon_0 = 8.85 \times 10^{-12} \, F/m\),
\( E = \frac{9 \times 10^9 \times 5 \times 10^{-10}}{(0.3)^2} = 5 \times 10^1 = 50 \, V/m \).
Electric displacement, \( D = \epsilon_0 E = 8.85 \times 10^{-12} \times 50 = 4.43 \times 10^{-10} \, C/m^2 \).

(b) In glycerin (\(\epsilon_r = 50\)):
\( E = \frac{1}{4 \pi \epsilon_0 \epsilon_r} \frac{Q}{r^2} = \frac{50}{50} = 1 \, V/m \) (since \(E\) is reduced by \(\epsilon_r\)),
\( E = \frac{50}{50} = 1 \, V/m \).
Electric displacement, \( D = \epsilon",1,answer>1</answer>
818,818,818,818,818,818,Qwen/Qwen2.5-7B-Instruct,"A radioactive sample has a half-life of 1 hour. If we start with 1.000 gram of it at noon, how much remains at 3:00 pm?",0.125 g,"The time elapsed from noon to 3:00 pm is 3 hours. Since the half-life is 1 hour, the sample undergoes 3 half-lives in that time. After each half-life, the amount remaining is halved, so after 3 half-lives, the remaining amount is \(1.000 \times \left(\frac{1}{2}\right)^3 = 1.000 \times \frac{1}{8} = 0.125\) grams. Therefore, 0.125 grams remain at 3:00 pm.",1,answer>1</answer>
819,819,819,819,819,819,Qwen/Qwen2.5-7B-Instruct,"A copper pipe (1 in. O.D., 0.88 in. I.D. and k = 220 Btu/hr-ft-°F) carries process steam 212°F through a room at 60°F. The heating cost of steam is 0.05 cents/ Btu. The pipe is insulated with 85% magnesia (0.57 in. thick and k = 0.038 Btu/hr-ft-°F) at a cost of $3.25 per foot. Estimate the payback period of insulation cost. Assume a constant fluid film resistance (0.95 hr-ft-°F/Btu) and neglect outer surface film resistance.",61 hours,"First, calculate the heat loss without insulation using the formula for cylindrical conduction with film resistance:

\( R_{\text{total, no ins}} = R_{\text{film}} + R_{\text{pipe}} \)

Where:
- \( R_{\text{film}} = 0.95 \, \text{hr-ft-°F/Btu} \)
- \( R_{\text{pipe}} = \frac{\ln(r_o/r_i)}{2 \pi k L} \)

For 1 ft length:
- \( r_o = 0.5 \, \text{in} = 0.0417 \, \text{ft} \)
- \( r_i = 0.44 \, \text{in} = 0.0367 \, \text{ft} \)
- \( k_{\text{pipe}} = 220 \, \text{Btu/hr-ft-°F} \)

Calculate \( R_{\text{pipe}} \):
\[
R_{\text{pipe}} = \frac{\ln(0.0417/0.0367)}{2 \pi \times 220 \times 1} = \frac{0.128}{1382} = 9.26 \times 10^{-5} \, \text{hr-ft-°F/Btu}
\]

Total resistance no insulation:
\[
R_{\text{total, no ins}} = 0.",0,0
820,820,820,820,820,820,Qwen/Qwen2.5-7B-Instruct,"If a household chose to save 10 percent of its income and to addthree quarters of its saving to cash balances, what wouldbe the value of the loan contracts it demanded when itsincome totaled $30,000 per year?","$2,250","The household saves 10% of $30,000, which is $3,000. It adds three quarters (75%) of its saving to cash balances, so cash balances increase by 0.75 × $3,000 = $2,250. The remaining saving, $3,000 - $2,250 = $750, is the value of the loan contracts it demands. Thus, the household demands $750 in loan contracts.",0,answer>0</answer>
821,821,821,821,821,821,Qwen/Qwen2.5-7B-Instruct,"Find the amount to be paid each month in order to pay off car described below in two years. Price of car: $5,779.00 Transportation charge: $73.00 Factory-installed equipment: Radio 95.50 Metallic paint 59.90 Racing stripes 39.50 Power steering 98.00 Wide radial tires 198.10 Air conditioning 429.00 Dealer-installed equipment: Mirror $8.50 Mats 10.75 Undercoat 35.00 Insurance : Collision ($100-deductible) $505.75 for two years Comprehensive 231.50 for two years Sales tax: 5% Cash deposit: $500.00 Cost of financing: 9(1/2)%per year for two Years Used car allowance: $370.00",$349,"First, calculate the total cost:  
Car price + transportation + factory-installed equipment + dealer-installed equipment + insurance + sales tax - used car allowance - cash deposit.  
Total equipment cost = 95.50 + 59.90 + 39.50 + 98.00 + 198.10 + 429.00 + 8.50 + 10.75 + 35.00 = 974.25  
Insurance total = 505.75 + 231.50 = 737.25  
Subtotal = 5779 + 73 + 974.25 + 737.25 = 7563.50  
Sales tax = 5% of 5779 = 288.95  
Total cost = 7563.50 + 288.95 - 370 - 500 = 6982.45  

Next, calculate monthly payments with 9.5% annual interest over 2 years (24 months).  
Monthly interest rate = 9.5% / 12 = 0.0079167  
Using the loan payment formula, the monthly payment is approximately $307.  

Thus, the monthly payment to pay off the car in two years is about $307.",0,0
822,822,822,822,822,822,Qwen/Qwen2.5-7B-Instruct,"Wiley's Gum Co. wishes to find their net income (or loss) for the last week. Their revenue from sales was $16,150. Their sales returns and allowances were $150. The cost of goods sold was $9,600. They also had the fol-lowing expenses: Rent $800 Salaries $3,200 Ultilities $160 Miscellaneou $575 Find their gross profit and net income for the week.",$1665,"Wiley's Gum Co.'s gross profit is calculated as sales revenue minus sales returns and cost of goods sold: $16,150 - $150 - $9,600 = $6,400. Total expenses are $800 + $3,200 + $160 + $575 = $4,735. Net income is gross profit minus total expenses: $6,400 - $4,735 = $1,665. Therefore, the gross profit is $6,400 and the net income is $1,665.",1,answer>1</answer>
823,823,823,823,823,823,Qwen/Qwen2.5-7B-Instruct,"Reeves Corporation is going to pay a total dividend of $50,000 for the year.The Corporation has 1,000 shares of 6%, $50 par value preferred stock outstanding, as well as 5,000 shares of common stock outstanding.Find the dividendsper share for each class of stock.","$3 for preferred stock, $9.40 for common stock","The preferred stock dividend is 6% of the $50 par value, which equals $3 per share. For 1,000 preferred shares, total preferred dividends are $3,000. The remaining dividend for common stock is $50,000 - $3,000 = $47,000. Dividends per common share are $47,000 ÷ 5,000 = $9.40.",1,answer>1</answer>
824,824,824,824,824,824,Qwen/Qwen2.5-7B-Instruct,What is the value of the integral $\int_0^{\pi/2} 1/(1+(tan(x))^{\sqrt{2}}) dx$?,0.78539815,"Let \( I = \int_0^{\pi/2} \frac{1}{1 + (\tan x)^{\sqrt{2}}} \, dx \).

Using the substitution \( x = \frac{\pi}{2} - t \), we get:
\[
I = \int_0^{\pi/2} \frac{1}{1 + (\tan(\frac{\pi}{2} - t))^{\sqrt{2}}} \, dt = \int_0^{\pi/2} \frac{1}{1 + (\cot t)^{\sqrt{2}}} \, dt.
\]

Rewrite the integrand:
\[
\frac{1}{1 + (\cot t)^{\sqrt{2}}} = \frac{1}{1 + \frac{1}{(\tan t)^{\sqrt{2}}}} = \frac{(\tan t)^{\sqrt{2}}}{1 + (\tan t)^{\sqrt{2}}}.
\]

Adding the two expressions for \( I \):
\[
2I = \int_0^{\pi/2} \left( \frac{1}{1 + (\tan x)^{\sqrt{2}}} + \frac{(\tan x)^{\sqrt{2}}}{1 + (\tan x)^{\sqrt{2}}} \right) dx = \int_0^{\pi/",0,0
825,825,825,825,825,825,Qwen/Qwen2.5-7B-Instruct,"If 1.0 g of rubidium and 1.0 g of bromine are reacted, what will be left in measurable amounts (more than 0.10 mg) in the reaction vessel?",RbBr and Br2 only,"Rubidium (Rb) and bromine (Br₂) react to form rubidium bromide (RbBr) in a 1:1 molar ratio. The molar masses are approximately 85.47 g/mol for Rb and 159.8 g/mol for Br₂. For 1.0 g Rb (0.0117 mol) and 1.0 g Br₂ (0.00625 mol), bromine is the limiting reagent. All bromine will be consumed, and 0.00625 mol Rb will react, leaving 0.00545 mol Rb unreacted. This leftover rubidium corresponds to about 0.47 g, which is more than 0.10 mg, so unreacted rubidium will remain measurable.",0,answer>0</answer>
826,826,826,826,826,826,Qwen/Qwen2.5-7B-Instruct,"Two races of corn averaging 48 and 72 inches in height are crossed. The height of the F_1 generation does not vary very much, averaging 60 inches. When 500 of these plants were classified, two were 48 inches, and two were 72 inches, the rest falling between these in height. What is the number of polygenesinvolved, and how many inches does each contribute?","Eight polygenes, 3 inches each","The F_1 average height is 60 inches, which is the midpoint between 48 and 72 inches, indicating additive gene action. The difference between the two parent heights is 72 - 48 = 24 inches. Since the F_1 average is exactly in the middle, the total polygenic effect is 24 inches. The presence of only two plants at each extreme out of 500 suggests about 5 classes (2n + 1 = 5), so n = 2 polygenes. Each polygene contributes 24 inches / 4 = 6 inches to the height difference.",0,answer>0</answer>
827,827,827,827,827,827,Qwen/Qwen2.5-7B-Instruct,How many ounces of silver alloy which is 28% silver must be mixed with 24 ounces of silver which is 8% silver to produce a new alloy which is 20% silver?,36 ounces of silver,"Let \( x \) be the ounces of the 28% silver alloy. The total silver content equation is:

\( 0.28x + 0.08 \times 24 = 0.20(x + 24) \).

This simplifies to:

\( 0.28x + 1.92 = 0.20x + 4.8 \),

\( 0.28x - 0.20x = 4.8 - 1.92 \),

\( 0.08x = 2.88 \),

\( x = \frac{2.88}{0.08} = 36 \).

So, 36 ounces of the 28% silver alloy must be mixed.",1,answer>1</answer>
828,828,828,828,828,828,Qwen/Qwen2.5-7B-Instruct,Determine the mass and specific volume of argon gas in a vessel at 150kPaand 20°C. The vessel is spherical and has a radius of 5m.,"mass = 1288 kg, specific volume = 0.4065 m^3/kg","First, calculate the volume of the spherical vessel: \( V = \frac{4}{3} \pi r^3 = \frac{4}{3} \pi (5)^3 = 523.6 \, m^3 \). Using the ideal gas law, \( PV = mRT \), where \( P = 150 \, kPa = 150,000 \, Pa \), \( T = 20^\circ C = 293 \, K \), and \( R = \frac{R_u}{M} = \frac{8.314}{0.03995} = 208.1 \, J/(kg \cdot K) \) for argon. Rearranging, \( m = \frac{PV}{RT} = \frac{150,000 \times 523.6}{208.1 \times 293} \approx 1287 \, kg \). The specific volume \( v = \frac{V}{m} = \frac{523.6}{1287} \approx 0.407 \, m^3/kg \).",1,answer>1</answer>
829,829,829,829,829,829,Qwen/Qwen2.5-7B-Instruct,"When the expression $-2x^2-20x-53$ is written in the form $a(x+d)^2+e$, where $a$, $d$, and $e$ are constants, what is the sum $a+d+e$?",0,"Starting with the expression \(-2x^2 - 20x - 53\), factor out \(-2\) from the first two terms:

\[
-2(x^2 + 10x) - 53
\]

Complete the square inside the parentheses:

\[
x^2 + 10x = (x + 5)^2 - 25
\]

Substitute back:

\[
-2[(x + 5)^2 - 25] - 53 = -2(x + 5)^2 + 50 - 53 = -2(x + 5)^2 - 3
\]

Here, \(a = -2\), \(d = 5\), and \(e = -3\). Their sum is:

\[
a + d + e = -2 + 5 - 3 = 0
\]

\[
\boxed{0}
\]",1,answer>1</answer>
830,830,830,830,830,830,Qwen/Qwen2.5-7B-Instruct,"Shipley and Star ordered one lot of portable cassette machines from StereoElectonics, list-priced at $987.70, on June 3. The invoice was dated June 10 and the terms were (n/30) ROG. (a) On what date would the payment be due if the machines were received July 30? (b) If the terms (2/10), (n/30) were offered, payment was made on August 4 and the invoice was date July 30, what was the amount paid?","August 29, $967.95","(a) Since the terms are (n/30) ROG (Receipt of Goods), the payment is due 30 days after the goods are received. The machines were received on July 30, so the payment is due on August 29. (b) With terms (2/10), (n/30) and the invoice dated July 30, payment made on August 4 is after the 10-day discount period, so no discount applies. The amount paid is the full list price of $987.70.",0,answer>0</answer>
831,831,831,831,831,831,Qwen/Qwen2.5-7B-Instruct,"(a) Calculate the synchronous speed of an eight-pole induction motor when supplied with power from a 60-cycle source. (b) Calculate the synchronous speed of 60-cycle induction motors having four poles. (c) The rotor speed of a six-pole 50-cycle induction motor is 960 rpm. Calculate the percent slip. (d) Calculate the speed of a 60-cycle,14-pole motor if the slip s is 0.05.","900, 1800, 4, 488","(a) Synchronous speed \( N_s = \frac{120 \times f}{P} = \frac{120 \times 60}{8} = 900 \) rpm.  
(b) For a 4-pole motor, \( N_s = \frac{120 \times 60}{4} = 1800 \) rpm.  
(c) For a 6-pole, 50 Hz motor, \( N_s = \frac{120 \times 50}{6} = 1000 \) rpm. Slip \( s = \frac{N_s - N_r}{N_s} = \frac{1000 - 960}{1000} = 0.04 \) or 4%.  
(d) For a 14-pole, 60 Hz motor, \( N_s = \frac{120 \times 60}{14} \approx 514.29 \) rpm. Rotor speed \( N_r = N_s (1 - s) = 514.29 \times (1 - 0.05) = 488.57 \) rpm.",0,0
832,832,832,832,832,832,Qwen/Qwen2.5-7B-Instruct,"A square metal plate of edge length $8.0 \mathrm{~cm}$ and negligible thickness has a total charge of $6.0 \times 10^{-6} \mathrm{C}$. Estimate the magnitude $E$ of the electric field just off the center of the plate (at, say, a distance of $0.50 \mathrm{~mm}$ from the center) by assuming that the charge is spread uniformly over the two faces of the plate. ",$5.4$$10^7 \\mathrm{~N} / \\mathrm{C}$,"The total charge \( Q = 6.0 \times 10^{-6} \, C \) is spread over two faces, so charge per face \( Q_f = 3.0 \times 10^{-6} \, C \). The area of one face is \( A = (0.08 \, m)^2 = 6.4 \times 10^{-3} \, m^2 \), so surface charge density \( \sigma = \frac{Q_f}{A} = \frac{3.0 \times 10^{-6}}{6.4 \times 10^{-3}} = 4.69 \times 10^{-4} \, C/m^2 \). The electric field just off the surface of a uniformly charged plane is \( E = \frac{\sigma}{2 \epsilon_0} \), where \( \epsilon_0 = 8.85 \times 10^{-12} \, F/m \). Thus, \( E = \frac{4.69 \times 10^{-4}}{2 \times 8.85 \times 10^{-12}} \approx 2.65 \times 10^7 \, N/C \).",0,0
833,833,833,833,833,833,Qwen/Qwen2.5-7B-Instruct,"The effect of inert gas on equilibrium composition can be determinedby the computation of the mixture composition. Calculate the composition of the mixture at 3,000°K and 1atmpressure, for a mixture initially composed of 0.5 mol of carbonmonoxide and 2.38 mol of air.","0.24 mol of CO at the equilibrium state of 3,000K and 1atm pressure","To calculate the equilibrium composition at 3000 K and 1 atm for a mixture of 0.5 mol CO and 2.38 mol air, you need the reaction and equilibrium constant at this temperature. Assuming the reaction CO + 0.5 O2 ⇌ CO2, first determine the initial moles of O2 in air (air is ~21% O2, so 2.38 × 0.21 ≈ 0.5 mol O2). Then, set up the equilibrium expression using the equilibrium constant \(K_p\) at 3000 K, and solve for the extent of reaction. The inert gases in air (mainly N2) do not affect the equilibrium constant but dilute the mixture, so their presence affects partial pressures but not the equilibrium composition directly.",0,(answer>0</answer>)
834,834,834,834,834,834,Qwen/Qwen2.5-7B-Instruct,0.1 moles of Cu(NO_3)_2 are added to 1.0molesof NH_3 and then diluted to 1000ml. Find the concentration of Cu^2+ formed. K_eq= 8.5 × 10^-13 .,6.5 × 10^-13 M,"Given 0.1 moles of Cu(NO₃)₂ and 1.0 mole of NH₃ diluted to 1 L, initial concentrations are [Cu²⁺] = 0.1 M and [NH₃] = 1.0 M. The equilibrium reaction is Cu²⁺ + 4NH₃ ⇌ [Cu(NH₃)₄]²⁺ with K_eq = 8.5 × 10⁻¹³. Let x be the concentration of Cu²⁺ at equilibrium, then:

K_eq = [Cu(NH₃)₄²⁺] / ([Cu²⁺][NH₃]⁴) ≈ (0.1 - x) / (x * (1 - 4x)⁴) ≈ (0.1 - x) / (x * 1⁴) ≈ (0.1 - x) / x.

Since K_eq is very small, complex formation is negligible, so x ≈ 0.1 M. Thus, the concentration of free Cu²⁺ is approximately 0.1 M.",0,(answer>0</answer>)
835,835,835,835,835,835,Qwen/Qwen2.5-7B-Instruct,"Suppose that in the base year, GNP = $1000 billion. Since the base year, money GNP has increased $500 billion while real GNP has increased $250 billion. What is the current price index?",120,"The current price index can be calculated using the formula: Price Index = (Nominal GNP / Real GNP) × 100. The nominal GNP is the base year GNP plus the increase, so $1000 billion + $500 billion = $1500 billion. The real GNP is the base year GNP plus its increase, so $1000 billion + $250 billion = $1250 billion. Therefore, the current price index = ($1500 billion / $1250 billion) × 100 = 120.",1,answer>1</answer>
836,836,836,836,836,836,Qwen/Qwen2.5-7B-Instruct,Find the costof each order. (a) 346 glasses @ 50 \textcent each (b) 870 nails @ 3(1/ 2) \textcent each (c) 125 chains @ $16.48 each.,"$173.00, $30.45, $2,060.00","(a) The cost of 346 glasses at 50 cents each is 346 × 0.50 = $173.00.  
(b) The cost of 870 nails at 3.5 cents each is 870 × 0.035 = $30.45.  
(c) The cost of 125 chains at $16.48 each is 125 × 16.48 = $2,060.00.",1,answer>1</answer>
